timestamp,train_id,sensor_type,value,unit,status,location,last_calibration
2025-09-09 10:31:08,T001,Door_Sensor,1.0,status,Door Open,Car_3,2025-08-26
2025-09-09 10:31:08,T001,Brake_Pressure,5.91,bar,Normal,Car_3,2025-06-19
2025-09-09 10:31:08,T001,HVAC_Temperature,21.8,°C,Alert,Car_2,2025-08-12
2025-09-09 10:31:08,T001,Battery_Voltage,75.7,V,Normal,Car_4,2025-07-23
2025-09-09 10:31:08,T001,Axle_Temperature,49.7,°C,Normal,Car_1,2025-08-12
2025-09-09 10:31:08,T001,Vibration_Monitor,34.69,units,Normal,Car_4,2025-07-15
2025-09-09 10:31:08,T001,Pantograph_Status,11.67,units,Normal,Car_1,2025-06-29
2025-09-09 10:31:08,T001,Traction_Current,12.76,units,Normal,Car_3,2025-08-26
2025-09-09 10:31:08,T001,Air_Compressor,2.95,units,Warning,Car_3,2025-09-08
2025-09-09 10:31:08,T001,Wheel_Wear_Sensor,58.77,units,Normal,Car_4,2025-07-01
2025-09-09 10:31:08,T002,Door_Sensor,0.0,status,Normal,Car_2,2025-07-12
2025-09-09 10:31:08,T002,Brake_Pressure,6.06,bar,Normal,Car_1,2025-08-24
2025-09-09 10:31:08,T002,HVAC_Temperature,28.0,°C,Alert,Car_3,2025-08-09
2025-09-09 10:31:08,T002,Battery_Voltage,71.8,V,Low Voltage,Car_1,2025-07-19
2025-09-09 10:31:08,T002,Axle_Temperature,51.3,°C,Normal,Car_1,2025-08-03
2025-09-09 10:31:08,T002,Vibration_Monitor,31.65,units,Normal,Car_1,2025-07-12
2025-09-09 10:31:08,T002,Pantograph_Status,31.01,units,Normal,Car_1,2025-09-07
2025-09-09 10:31:08,T002,Traction_Current,41.05,units,Normal,Car_4,2025-07-10
2025-09-09 10:31:08,T002,Air_Compressor,64.3,units,Normal,Car_4,2025-06-28
2025-09-09 10:31:08,T002,Wheel_Wear_Sensor,68.07,units,Normal,Car_3,2025-07-12
2025-09-09 10:31:08,T003,Door_Sensor,1.0,status,Door Open,Car_4,2025-06-30
2025-09-09 10:31:08,T003,Brake_Pressure,5.84,bar,Warning,Car_1,2025-07-12
2025-09-09 10:31:08,T003,HVAC_Temperature,23.5,°C,Normal,Car_1,2025-07-20
2025-09-09 10:31:08,T003,Battery_Voltage,70.5,V,Low Voltage,Car_1,2025-08-17
2025-09-09 10:31:08,T003,Axle_Temperature,51.5,°C,Normal,Car_2,2025-09-06
2025-09-09 10:31:08,T003,Vibration_Monitor,34.27,units,Normal,Car_1,2025-07-02
2025-09-09 10:31:08,T003,Pantograph_Status,32.89,units,Alert,Car_3,2025-08-16
2025-09-09 10:31:08,T003,Traction_Current,8.84,units,Normal,Car_4,2025-07-18
2025-09-09 10:31:08,T003,Air_Compressor,75.43,units,Warning,Car_1,2025-08-06
2025-09-09 10:31:08,T003,Wheel_Wear_Sensor,50.53,units,Normal,Car_2,2025-08-27
2025-09-09 10:31:08,T004,Door_Sensor,0.0,status,Normal,Car_3,2025-06-22
2025-09-09 10:31:08,T004,Brake_Pressure,5.94,bar,Normal,Car_2,2025-07-10
2025-09-09 10:31:08,T004,HVAC_Temperature,24.5,°C,Normal,Car_1,2025-08-04
2025-09-09 10:31:08,T004,Battery_Voltage,77.1,V,Normal,Car_1,2025-08-08
2025-09-09 10:31:08,T004,Axle_Temperature,58.2,°C,Normal,Car_3,2025-08-09
2025-09-09 10:31:08,T004,Vibration_Monitor,63.69,units,Normal,Car_1,2025-08-09
2025-09-09 10:31:08,T004,Pantograph_Status,22.26,units,Warning,Car_3,2025-09-08
2025-09-09 10:31:08,T004,Traction_Current,88.34,units,Normal,Car_3,2025-08-27
2025-09-09 10:31:08,T004,Air_Compressor,53.02,units,Normal,Car_1,2025-07-01
2025-09-09 10:31:08,T004,Wheel_Wear_Sensor,12.96,units,Normal,Car_4,2025-09-02
2025-09-09 10:31:08,T005,Door_Sensor,1.0,status,Door Open,Car_4,2025-07-31
2025-09-09 10:31:08,T005,Brake_Pressure,5.95,bar,Normal,Car_3,2025-07-10
2025-09-09 10:31:08,T005,HVAC_Temperature,24.3,°C,Normal,Car_2,2025-07-14
2025-09-09 10:31:08,T005,Battery_Voltage,75.3,V,Normal,Car_1,2025-07-10
2025-09-09 10:31:08,T005,Axle_Temperature,59.0,°C,Normal,Car_1,2025-08-30
2025-09-09 10:31:08,T005,Vibration_Monitor,47.92,units,Normal,Car_1,2025-07-19
2025-09-09 10:31:08,T005,Pantograph_Status,24.26,units,Normal,Car_3,2025-09-01
2025-09-09 10:31:08,T005,Traction_Current,8.12,units,Normal,Car_4,2025-08-15
2025-09-09 10:31:08,T005,Air_Compressor,69.53,units,Normal,Car_4,2025-08-26
2025-09-09 10:31:08,T005,Wheel_Wear_Sensor,26.33,units,Warning,Car_4,2025-07-04
2025-09-09 10:31:08,T006,Door_Sensor,0.0,status,Normal,Car_4,2025-07-24
2025-09-09 10:31:08,T006,Brake_Pressure,5.8,bar,Warning,Car_1,2025-08-22
2025-09-09 10:31:08,T006,HVAC_Temperature,20.2,°C,Alert,Car_3,2025-06-26
2025-09-09 10:31:08,T006,Battery_Voltage,72.8,V,Normal,Car_4,2025-08-22
2025-09-09 10:31:08,T006,Axle_Temperature,42.3,°C,Normal,Car_2,2025-09-07
2025-09-09 10:31:08,T006,Vibration_Monitor,4.12,units,Normal,Car_4,2025-08-28
2025-09-09 10:31:08,T006,Pantograph_Status,40.89,units,Normal,Car_3,2025-09-07
2025-09-09 10:31:08,T006,Traction_Current,7.08,units,Normal,Car_2,2025-06-21
2025-09-09 10:31:08,T006,Air_Compressor,36.29,units,Normal,Car_2,2025-06-17
2025-09-09 10:31:08,T006,Wheel_Wear_Sensor,48.41,units,Normal,Car_1,2025-09-06
2025-09-09 10:31:08,T007,Door_Sensor,1.0,status,Door Open,Car_4,2025-09-01
2025-09-09 10:31:08,T007,Brake_Pressure,6.09,bar,Normal,Car_3,2025-08-08
2025-09-09 10:31:08,T007,HVAC_Temperature,29.6,°C,Alert,Car_2,2025-08-18
2025-09-09 10:31:08,T007,Battery_Voltage,71.6,V,Low Voltage,Car_1,2025-07-10
2025-09-09 10:31:08,T007,Axle_Temperature,33.5,°C,Normal,Car_3,2025-07-10
2025-09-09 10:31:08,T007,Vibration_Monitor,52.71,units,Normal,Car_3,2025-08-04
2025-09-09 10:31:08,T007,Pantograph_Status,0.55,units,Normal,Car_3,2025-07-21
2025-09-09 10:31:08,T007,Traction_Current,30.75,units,Warning,Car_1,2025-09-01
2025-09-09 10:31:08,T007,Air_Compressor,48.47,units,Normal,Car_2,2025-08-15
2025-09-09 10:31:08,T007,Wheel_Wear_Sensor,40.54,units,Normal,Car_2,2025-07-15
2025-09-09 10:31:08,T008,Door_Sensor,0.0,status,Normal,Car_2,2025-07-23
2025-09-09 10:31:08,T008,Brake_Pressure,5.82,bar,Warning,Car_2,2025-07-02
2025-09-09 10:31:08,T008,HVAC_Temperature,21.7,°C,Alert,Car_3,2025-06-11
2025-09-09 10:31:08,T008,Battery_Voltage,70.6,V,Low Voltage,Car_3,2025-08-01
2025-09-09 10:31:08,T008,Axle_Temperature,53.4,°C,Normal,Car_1,2025-07-04
2025-09-09 10:31:08,T008,Vibration_Monitor,38.88,units,Normal,Car_1,2025-08-26
2025-09-09 10:31:08,T008,Pantograph_Status,49.14,units,Normal,Car_2,2025-06-21
2025-09-09 10:31:08,T008,Traction_Current,8.88,units,Normal,Car_2,2025-08-27
